Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Amritsari Kulcha Junction,"North Indian, Chinese, Rolls, Beverages",3.7,₹500 for two,2.7 km,"Civil Lines, Agra",Agra
Maikhana – ITC Mughal,Finger Food,4.1,"₹2,000 for two",3.2 km,"ITC Mughal, Tajganj, Agra",Agra
Masala Handi,"North Indian, Chinese, Fast Food, South Indian, Desserts",3,₹400 for two,2.7 km,"Civil Lines, Agra",Agra
Romo's Bistro,"North Indian, Chinese, Fast Food, Momos, Rolls",2.7,₹600 for two,3.6 km,"Khandari, Agra",Agra
Peshawri - ITC Mughal,"North Indian, Mughlai",4.5,"₹6,000 for two",3.2 km,"ITC Mughal, Tajganj, Agra",Agra
Star Ultimate Pizza,"Fast Food, Pasta, Beverages",4,₹400 for two,3.3 km,"Tajganj, Agra",Agra
Plush Bar,"Continental, Fast Food",3.9,"₹2,700 for two",4.3 km,"DoubleTree by Hilton Hotel Agra, Tajganj, Agra",Agra
Gifi,"Burger, Sandwich, Fast Food, Waffle, Desserts, Shake, Beverages",New,₹300 for two,4.7 km,"Tajganj, Agra",Agra
Tealogy,"Beverages, Shake, Sandwich, Fast Food, Street Food",4.6,₹400 for two,2.7 km,"Civil Lines, Agra",Agra
Meet N Eat Onwheel,"North Indian, Chinese, Burger, Fast Food",-,₹300 for two,5.9 km,"Dayal Bagh, Agra",Agra
New Agra Fast Food & Restaurant,"North Indian, South Indian",3.7,₹250 for two,3.3 km,"Tajganj, Agra",Agra
Pizza King,"Pizza, Fast Food",New,₹450 for two,4.1 km,"Tajganj, Agra",Agra
Costa Coffee,"Cafe, Coffee, Beverages, Bakery, Desserts",-,₹800 for two,3 km,"Civil Lines, Agra",Agra
Cremeborne - Ice Creams and Desserts,"Bakery, Waffle, Ice Cream, Coffee, Shake",4,₹500 for two,4.4 km,"Khandari, Agra",Agra
Bikanervala,"Mithai, North Indian, Chinese, South Indian, Fast Food, Desserts, Beverages",4,₹700 for two,3.5 km,"Tajganj, Agra",Agra
Bhagat Halwai,"Mithai, Chinese, South Indian, Street Food, Fast Food, Desserts, Bakery",3.8,₹300 for two,4.5 km,"Dayal Bagh, Agra",Agra
Jain Fast Food & Restaurant,"North Indian, South Indian, Chinese, Fast Food",-,₹450 for two,3.8 km,"Trans Yamuna, Agra",Agra
C'est Chine - Jaypee Palace Hotel,Chinese,4.4,"₹2,500 for two",4.4 km,"Jaypee Palace Hotel, Tajganj, Agra",Agra
Charlly Restaurant & Resort,"South Indian, Pizza, Burger, Chinese, Fast Food, Salad, Desserts, Beverages",New,₹300 for two,12.3 km,"Shahganj, Agra",Agra
Bread N Mime Cafe,"Cafe, Fast Food, Burger, North Indian, Street Food, Beverages, Desserts",3.9,₹600 for two,4.4 km,"Tajganj, Agra",Agra
Shree Ram Poori Wale,"North Indian, Street Food",3.8,₹100 for two,5.2 km,"Sikandra, Agra",Agra
Joney's Place,"Biryani, Fast Food, North Indian, Chinese, Beverages",2.6,₹450 for two,2.4 km,"Tajganj, Agra",Agra
MKOP,"Bakery, Desserts, Street Food, Rolls, Beverages",4.3,₹300 for two,2.7 km,"Civil Lines, Agra",Agra
Hippo's Krates Cafe,"Chinese, Momos, Beverages, Fast Food",4,₹600 for two,3.7 km,"Tajganj, Agra",Agra
Ram Babu Parathe Wale,"North Indian, South Indian, Chinese, Fast Food, Desserts",3.3,₹400 for two,8.7 km,"Sikandra, Agra",Agra
Agarwal Chat Bhandhar,"Street Food, South Indian",4.1,₹150 for two,4.2 km,"Agra Cantt, Agra",Agra
Bethakk,"Fast Food, Beverages",4.1,₹250 for two,1.3 km,"Rakabganj, Agra",Agra
Al Zameer Restaurant,"North Indian, Mughlai",3.8,₹400 for two,1.9 km,"Mantola, Agra",Agra
Jai Maa Bhawani Bhojanalya,North Indian,3,₹200 for two,4.6 km,"Trans Yamuna, Agra",Agra
