Restaurent name,Cuisine types,Rating,Price,Distance,Location,City
Hyderabadi Dum Biryani Point,"Biryani, Chinese",3.5,200.0,4.4,"Arjun Nagar, Agra",Agra
Pizza House Family Restaurant,"South Indian, North Indian, Fast Food, Chinese, Pizza, Beverages",3.0,200.0,5.5,"Agra Cantt, Agra",Agra
Udupi Brindavan,"South Indian, North Indian",3.4,300.0,2.7,"Tajganj, Agra",Agra
Social Attitude,"North Indian, Fast Food, Healthy Food",3.9,200.0,3.3,"Lohamandi, Agra",Agra
Red Grill,"North Indian, Chinese, Mughlai",3.4,200.0,5.5,"Dayal Bagh, Agra",Agra
Rockstar Cafe,"Chinese, North Indian, Fast Food, Desserts, Beverages",3.2,200.0,6.3,"Kuberpur, Agra",Agra
3C's Cafe,"Fast Food, Beverages, Shake, Burger, Momos, Coffee, Cafe",4.3,350.0,2.7,"Civil Lines, Agra",Agra
Cake & More,"Bakery, Fast Food, Ice Cream, Desserts, Beverages",3.5,150.0,2.5,"Tajganj, Agra",Agra
Taj Mahal Restaurant,"North Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages",3.2,500.0,3.4,"Tajganj, Agra",Agra
Lobby Bar - Holiday Inn,Bar Food,3.9,1200.0,2.6,"Civil Lines, Agra",Agra
Skydeck - The Gateway Hotel,"North Indian, Chinese, Continental",3.7,2750.0,3.1,"The Gateway Hotel, Tajganj, Agra",Agra
Pizza In Pizza,"Pizza, Fast Food",3.374251,200.0,8.3,"Gopal Pura, Agra",Agra
Churros,"Cafe, Coffee, Bubble Tea, Fast Food, Waffle",3.374251,175.0,3.8,"Kamla Nagar, Agra",Agra
Chaska Restaurant,"North Indian, Chinese, South Indian, Desserts, Ice Cream, Pizza, Beverages, Fast Food",3.6,500.0,3.8,"Kamla Nagar, Agra",Agra
Agarwal Food Court,"South Indian, Chinese, Fast Food, Street Food, Beverages, North Indian",4.0,300.0,2.5,"Agra Cantt, Agra",Agra
Anise,"North Indian, Kebab, Biryani, Desserts",4.5,1000.0,4.8,"Tajganj, Agra",Agra
The Royal Dining Restaurant,"North Indian, Chinese, Continental, South Indian, Oriental, Desserts, Beverages, Italian",4.6,500.0,4.0,"Tajganj, Agra",Agra
Tareef Restaurant,North Indian,3.1,175.0,1.8,"Mantola, Agra",Agra
Chia Taj View Cafe,"Coffee, Fast Food",3.374251,250.0,2.6,"Tajganj, Agra",Agra
2ND Wife,"North Indian, Fast Food, Beverages, Shake",3.2,125.0,1.7,"Agra Cantt, Agra",Agra
Atlantic Foods,"Bakery, Desserts, Fast Food, Beverages",4.1,200.0,2.7,"Civil Lines, Agra",Agra
Public Restaurant,"North Indian, Mughlai",3.4,400.0,4.3,"Tajganj, Agra",Agra
Hotel Solitaire,"North Indian, South Indian, Chinese, Desserts, Fast Food",4.1,300.0,2.5,"Civil Lines, Agra",Agra
Rambabu Ke Parathe,North Indian,3.9,150.0,6.4,"Tajganj, Agra",Agra
Thor The Party World,"North Indian, Continental, Mughlai",3.374251,750.0,5.9,"Tajganj, Agra",Agra
Deviram Food Circle,"Mithai, Chinese, South Indian, Street Food, Fast Food",3.0,225.0,4.2,"Dayal Bagh, Agra",Agra
Tea'se Coffee - The Tamala Tree,"North Indian, Chinese, Sushi, Salad",3.374251,750.0,4.6,"Tajganj, Agra",Agra
