Restaurent name,Cuisine types,Rating,Price,Distance,Location
Heavens Pizza,"Pizza, Fast Food, Continental, Burger, American, Italian",3.5,₹400 for two,7.1 km,"Gomti Nagar, Lucknow"
Mr Bawarchi,North Indian,3.6,₹250 for two,5.3 km,"Gomti Nagar, Lucknow"
Mezbaan Mughali Point,"North Indian, Chinese, Mughlai, Fast Food",3.0,₹400 for two,3.5 km,"Aliganj, Lucknow"
Red Dragon,"Chinese, Momos, Shawarma, Fast Food, Street Food, Beverages",3.8,₹350 for two,5.6 km,"Gomti Nagar, Lucknow"
Arabecue Pizza,"Pizza, Fast Food",3.8,₹350 for two,4.7 km,"Aliganj, Lucknow"
Rajdhani Hotel,"North Indian, Chinese",3.3,₹300 for two,8.9 km,"Kanpur Road, Lucknow"
Ksheer Sagar Mishthaan Bhandar,"Mithai, Street Food",3.2,₹400 for two,7.8 km,"Gomti Nagar, Lucknow"
UP 32 Veg & Non Veg Point,"Mughlai, North Indian",3.2,₹400 for two,2.7 km,"Indira Nagar, Lucknow"
Just Pizza,"Pizza, Italian, Pasta, Mexican",3.7,₹450 for two,14.8 km,"Transport Nagar, Lucknow"
Shahi Darbar,"Mughlai, Awadhi, North Indian",3.7,₹400 for two,2.3 km,"Aliganj, Lucknow"
Foodies Hub,"North Indian, South Indian, Chinese",3.9,₹300 for two,6 km,"Aashiana, Lucknow"
